,url,fundraising_entity_type,entity_name,count
79,https://www.patreon.com/Breakingthechains,organizational charity fund,Breaking The Chains,77
80,https://ko-fi.com/allanbarte,individual charity fund,Allan BARTE,75
81,https://www.paypal.com/donate/?hosted_button_id=YUXXEGAL8T7RW,individual charity fund,Diego Alejandro Itursarry,74
82,https://www.patreon.com/dannyhaiphong,independent journalism,Danny Haiphong,74
83,https://fundly.com/verifiable-ukraine-evacuation-resettlement-fund,individual charity fund,Rain Dubilewski,73
84,https://www.patreon.com/jacksonhinkle,independent journalism,The Dive with Jackson Hinkle,70
85,https://www.patreon.com/SabinGherman,independent journalism,Sabin Gherman,70
86,https://www.gofundme.com/f/help-disabled-ukrainians,organizational charity fund,Help Ukrainians with Disabilities,70
87,https://www.patreon.com/euromaidanpress,media,Euromaidan Press,68
88,https://www.paypal.com/paypalme/casadelsoletv,media,La Casa Del Sole Edizioni,67
89,https://www.gofundme.com/f/wm8bp-stand-for-ukraine,individual charity fund,Stand for Ukraine,67
90,https://www.patreon.com/babchenko,independent journalism,Arkady Babchenko,67
91,https://www.patreon.com/cholovichiy,media,MEN'S CHANNEL,66
92,https://www.patreon.com/adifferentbias,independent journalism,A Different Bias,66
93,https://www.paypal.com/donate/?business=QRN2GWD358V8J,media,NEMICO NETWORK,66
94,https://www.patreon.com/posts/63003338,media,russians with attitude,66
95,https://www.gofundme.com/f/f3dp6-help-refugees-from-ukraine,individual charity fund,Help Refugees from Ukraine,66
96,https://www.paypal.com/paypalme/OWAPSOAdogmeattrade,organizational charity fund,One World Actors Productions,66
97,https://www.patreon.com/posts/63799041,media,Empire Files,65
98,http://patreon.com/uanimals,organizational charity fund,Uanimals,64
99,https://www.patreon.com/posts/former-un-says-63509268,independent journalism,lee Camp,64
100,https://www.patreon.com/islndtv,media,ISLND TV,64
